index_column,taxumap1,taxumap2
PSMA265X,32.33641,12.981768
PSM7J4EF,32.70837,14.199078
PSMA264O,35.56064,13.749777
PSM7J13I,33.240635,11.954915
PSM7J1B3_P,34.499043,14.255424
PSM7J1BV,34.238037,12.62873
PSM6XBW1_P,35.37958,13.693845
PSM6XBVY_P,33.62579,13.75914
PSM6XBTR,33.181805,11.373769
PSM6XBSG_P,34.229996,13.60158
PSM6XBSE_P,32.77843,14.599495
PSM6XBRM_P,33.23944,11.745843
PSM6XBRK_P,32.60693,12.76833
MSMA267V,33.012302,15.703757
MSM9VZL5,32.682045,13.4600315
MSM9VZJF_P,33.057854,16.129711
MSM9VZJJ_P,32.926826,12.686255
MSM9VZMM,33.041664,11.655949
MSM9VZLZ,34.982178,16.792747
MSM9VZLX_P,33.484657,11.659591
MSM9VZN4_P,32.49994,13.761863
MSM9VZFJ_P,33.260227,12.986611
MSM79H94_P,33.409077,11.448476
MSM79H8D,33.68048,12.939706
MSM79HCG,32.91996,12.241531
MSM79HD6_P,33.41638,13.106963
MSM79HBZ,35.120052,16.603292
MSM79HBX_P,33.65563,13.94489
MSM79H9U_P,35.583424,13.775747
MSM79H5E,34.63731,13.832379
MSM6J2N6_P,35.768776,13.971876
MSM6J2RG_P,32.26971,13.333002
MSM6J2Q1,32.951717,12.971884
MSM6J2PO,32.888214,14.915448
MSM6J2JH_P,35.808006,14.018989
MSM6J2JF_P,33.80618,13.300673
CSM6J2H9_P,33.189655,14.402368
MSM5LLFG_P,33.34423,14.0298815
MSM5LLIS_P,35.712406,13.917797
MSM5LLIQ_P,32.4823,12.33818
MSM5LLIC_P,33.071198,15.793078
MSM5LLHV_P,33.556152,13.893729
MSM5LLHR_P,32.835712,13.138548
MSM5FZ9X_P,33.161568,16.254457
MSM5FZ9N_P,34.96535,16.471226
MSM5LLDI,33.836227,12.420524
HSMA33NY,34.421448,14.061107
HSMA33NW,33.440784,12.798692
HSMA33IE,33.891907,12.480624
HSM7J4JT_P,35.49054,13.821274
HSM7J4LP,34.68599,16.145094
HSM7J4J7,33.51,11.516664
HSM7CZ2X_P,32.70425,13.694274
HSM7J4Q1,33.88486,13.901011
HSM7CZ2V_P,33.371643,11.889271
HSM67VID,35.684025,13.887597
HSM7CZ1T_P,33.0696,12.384458
HSM67VDT_P,33.710934,12.0083275
HSM67VDR_P,32.987507,13.897022
HSM67VDX_P,33.155273,14.170712
HSM6XRR3,33.599796,11.697203
HSM6XRQE_P,35.702137,13.901977
HSM6XRQB_P,33.31539,15.560998
HSM5MD5X_P,32.53954,14.666043
HSM5MD87_P,32.942036,14.682924
HSM5MD82_P,34.71796,14.024335
HSM5MD8A_P,32.997963,14.224264
HSM5MD7Z_P,33.23303,13.086693
HSM5MD4B_P,33.09738,14.841644
HSM5FZBQ_P,35.224613,13.606887
ESM718U9_P,33.81916,13.505541
ESM5MEC7_P,33.2644,12.30383
ESM7F5AE_P,34.904346,13.655284
ESM5MEB9_P,34.31713,13.892072
ESM5GEYY_P,32.98845,13.473462
ESM5MEEJ_P,32.621353,13.873623
ESM5GEYX_P,33.51221,14.373874
ESM5GEYU_P,32.365524,14.203169
ESM5MEDZ_P,32.39072,13.444534
CSM7KOQ5_P,32.441544,14.269327
CSM7KOTO,32.45019,13.236942
CSM7KOQP_P,34.881454,16.542631
CSM7KOP6,34.027164,12.996846
CSM79HJI_P,34.182327,14.45468
CSM79HNE,33.1215,16.23593
CSM79HKX,32.487423,12.8766
CSM79HHW_P,32.94186,11.929143
CSM79HH2_P,34.49438,13.772832
CSM67UH7,33.73109,13.37541
CSM79HHO,33.430225,13.628743
CSM67UCU_P,33.906967,12.834589
CSM67U9X_P,33.135124,11.785727
CSM67U9V_P,33.523502,12.667208
CSM67U9T_P,33.63793,12.049723
CSM5MCXB_P,33.202328,15.842091
CSM5MCWK_P,33.298923,13.276538
CSM5MCWA_P,34.904137,16.831554
CSM5MCU4_P,32.44586,12.627759
CSM5MCVB_P,33.38917,11.42068
CSM5MCTZ_P,32.80257,13.269226
CSM5MCUQ_P,33.094994,13.374965
CSM5FZ4A_P,33.497997,11.691081
CSM5FZ4E_P,33.417133,12.530511
CSM5FZ3T_P,33.33934,11.592441
CSM5FZ3N_P,32.773235,12.123047
vdB.193.1,34.52106,16.985353
2221A,34.404484,16.344341
2366A,33.24162,15.26448
2834A,34.191708,16.90569
2789A,34.298267,15.332674
548,34.449856,17.427002
531,34.71166,17.272001
557,34.496597,17.460798
545,32.71662,14.809088
535,33.77222,15.716481
2791A,34.538593,17.374392
523,34.070972,17.149721
543,33.77511,17.023514
510,33.542664,16.718012
512,34.39109,15.488293
476,34.51752,16.28664
524,33.935608,16.43166
475,34.5703,16.484013
568,34.53596,17.395681
513,33.883305,16.538975
511,33.693687,16.790634
522,34.040848,14.885818
563,33.707375,16.402443
567,33.478127,16.133343
515,34.068676,16.211988
496,33.496593,16.330956
546,33.980106,14.748658
484,33.791344,16.522772
569,33.208603,15.253194
514,34.0997,17.164412
562,33.443398,14.7586
489,35.06874,16.15209
2810A,33.797707,16.659159
474,33.57826,16.143751
547,32.75342,14.884747
532,34.12865,16.086823
533,34.237656,15.37635
517,34.39846,16.84386
490,34.170135,17.062117
2721D,33.627087,16.685112
518,34.45279,16.33086
486,34.03283,16.54184
483,32.85383,14.229979
555,33.608486,15.93084
481,32.800293,12.582552
566,34.209652,16.650265
497,34.307068,15.61818
485,34.86447,15.920551
479,34.94096,16.095947
525,34.114815,14.328873
