index_column,taxumap1,taxumap2
PSMA265X,26.387196,14.696141
PSM7J4EF,25.068085,15.781436
PSMA264O,22.759897,15.105839
PSM7J13I,25.104729,13.687014
PSM7J1B3_P,23.871593,15.262125
PSM7J1BV,25.777357,13.841235
PSM6XBW1_P,23.12147,14.915828
PSM6XBVY_P,25.221985,14.789092
PSM6XBTR,26.133003,13.673438
PSM6XBSG_P,24.223873,14.662978
PSM6XBSE_P,25.894669,16.109526
PSM6XBRM_P,26.062193,13.613517
PSM6XBRK_P,26.121075,14.652206
MSMA267V,25.405586,17.382153
MSM9VZL5,25.559824,15.163446
MSM9VZJF_P,25.052973,17.515083
MSM9VZJJ_P,25.997892,14.404845
MSM9VZMM,25.719309,13.42388
MSM9VZLZ,23.614973,18.606134
MSM9VZLX_P,25.800047,13.817798
MSM9VZN4_P,25.496433,15.207298
MSM9VZFJ_P,25.726334,14.416073
MSM79H94_P,26.296053,13.596925
MSM79H8D,25.009003,14.206753
MSM79HCG,24.579044,13.849022
MSM79HD6_P,25.789751,14.471361
MSM79HBZ,23.470974,18.30821
MSM79HBX_P,25.114988,15.236432
MSM79H9U_P,22.823061,14.937705
MSM79H5E,23.827547,14.9923935
MSM6J2N6_P,22.857054,14.993302
MSM6J2RG_P,25.173227,15.351206
MSM6J2Q1,25.57738,14.844832
MSM6J2PO,25.500748,16.416557
MSM6J2JH_P,22.935211,14.778793
MSM6J2JF_P,24.961487,14.530376
CSM6J2H9_P,25.390778,15.750239
MSM5LLFG_P,25.368023,15.109282
MSM5LLIS_P,22.765316,14.899117
MSM5LLIQ_P,26.622599,14.451439
MSM5LLIC_P,25.180038,17.167446
MSM5LLHV_P,25.019722,15.02426
MSM5LLHR_P,25.983084,14.934808
MSM5FZ9X_P,24.949625,17.93039
MSM5FZ9N_P,23.546873,18.36486
MSM5LLDI,25.431274,13.584593
HSMA33NY,23.993492,15.109561
HSMA33NW,25.681253,14.242639
HSMA33IE,25.404118,13.961216
HSM7J4JT_P,23.00277,15.035359
HSM7J4LP,23.284988,17.879185
HSM7J4J7,26.332232,13.76991
HSM7CZ2X_P,26.341682,15.148061
HSM7J4Q1,24.572523,15.393857
HSM7CZ2V_P,25.95198,13.815476
HSM67VID,22.900791,14.873099
HSM7CZ1T_P,26.063623,14.112661
HSM67VDT_P,25.607225,13.68405
HSM67VDR_P,25.78626,15.340535
HSM67VDX_P,24.81349,15.693405
HSM6XRR3,25.638329,13.699823
HSM6XRQE_P,22.817638,14.942131
HSM6XRQB_P,25.126814,17.17431
HSM5MD5X_P,25.693115,16.054546
HSM5MD87_P,25.329336,16.039452
HSM5MD82_P,23.690744,15.278327
HSM5MD8A_P,25.73873,15.697334
HSM5MD7Z_P,25.736067,14.424695
HSM5MD4B_P,25.300657,16.26234
HSM5FZBQ_P,23.270817,15.034561
ESM718U9_P,24.652853,14.698561
ESM5MEC7_P,26.351723,14.314685
ESM7F5AE_P,23.500761,14.880122
ESM5MEB9_P,24.057642,14.81353
ESM5GEYY_P,24.75636,14.650349
ESM5MEEJ_P,25.735207,15.501416
ESM5GEYX_P,24.897074,15.657891
ESM5GEYU_P,26.087528,15.853317
ESM5MEDZ_P,26.279959,15.164249
CSM7KOQ5_P,26.169334,15.553401
CSM7KOTO,26.035294,15.019003
CSM7KOQP_P,23.63407,18.125628
CSM7KOP6,25.229258,14.077385
CSM79HJI_P,24.137577,15.413849
CSM79HNE,25.146866,18.041637
CSM79HKX,25.828476,14.714056
CSM79HHW_P,26.40606,14.05955
CSM79HH2_P,24.097809,15.087049
CSM67UH7,24.616146,14.709003
CSM79HHO,24.859095,15.377525
CSM67UCU_P,25.277145,14.032614
CSM67U9X_P,26.303938,13.9021845
CSM67U9V_P,25.386501,14.290096
CSM67U9T_P,25.06093,13.754373
CSM5MCXB_P,25.246334,17.42988
CSM5MCWK_P,25.441202,14.461294
CSM5MCWA_P,23.757946,18.503971
CSM5MCU4_P,24.516907,13.952839
CSM5MCVB_P,24.733984,13.713287
CSM5MCTZ_P,25.526852,14.932974
CSM5MCUQ_P,24.873537,15.141087
CSM5FZ4A_P,25.79046,13.530751
CSM5FZ4E_P,25.006124,14.019147
CSM5FZ3T_P,26.418745,13.8540535
CSM5FZ3N_P,26.229874,14.352577
vdB.193.1,23.9161,18.795704
2221A,23.864977,18.03681
2366A,25.335917,16.722195
2834A,23.999369,18.6022
2789A,24.150393,16.780876
548,24.879103,18.754461
531,24.687109,18.848907
557,24.709188,18.835611
545,25.547308,16.00473
535,24.788704,17.484266
2791A,24.931938,18.71955
523,24.288017,18.835428
543,24.61513,18.469345
510,24.574839,18.20283
512,24.055422,16.905005
476,23.735083,17.861538
524,24.226702,17.5612
475,23.992805,18.108288
568,24.595282,18.95003
513,24.264254,17.985563
511,24.613146,18.344307
522,24.184849,16.290777
563,24.326225,17.735151
567,24.65978,17.668766
515,24.171469,17.80743
496,24.762762,17.946177
546,24.286802,15.673558
484,24.492834,18.046278
569,25.20315,16.623209
514,24.257715,18.887476
562,24.952917,16.303654
489,23.331678,17.827082
2810A,24.267752,18.129047
474,25.061722,17.998734
547,24.953182,15.957039
532,24.462395,17.979826
533,24.227644,16.728659
517,24.069088,18.509365
490,24.231049,18.777649
2721D,24.68792,18.196476
518,23.746176,17.820114
486,24.42754,18.341633
483,25.992195,15.803992
555,24.77174,17.617481
481,24.78145,14.333303
566,24.45246,18.511873
497,24.176538,17.002228
485,23.314194,17.889427
479,23.198692,17.792517
525,24.582426,14.906504
